Rank,SEASON,Player,Team,Pos,Round,Pick,STICK %,NBA_YOS
97,2020,Devontae Shuler,Ole Miss,G,0,0,2.73,0
98,2020,Taveion Hollingsworth,Western Kentucky,G,0,0,2.67,0
99,2020,Jonny Lawrence,Furman,F,0,0,2.61,0
100,2020,Carlik Jones,Louisville,G,0,0,2.6,2
1,2021,Bennedict Mathurin,Arizona,G,1,6,94.03,4
2,2021,Paolo Banchero,Duke,F,1,1,88.85,4
3,2021,Christian Braun,Kansas,G,1,21,88.16,4
4,2021,Malaki Branham,Ohio State,G,1,20,86.47,4
5,2021,Ochai Agbaji,Kansas,G,1,14,84.76,4
6,2021,Jabari Walker,Colorado,F,2,57,84.51,4
7,2021,Jeremy Sochan,Baylor,F,1,9,83.32,4
8,2021,Jake Laravia,Wake Forest,G,1,19,82.34,4
9,2021,Julian Champagnie,St. John's (NY),G,0,0,77.49,4
10,2021,Blake Wesley,Notre Dame,G,1,25,76.86,4
11,2021,Andrew Nembhard,Gonzaga,G,2,31,76.65,4
12,2021,Walker Kessler,Auburn,F,1,22,71.29,4
13,2021,Peyton Watson,UCLA,G,1,30,70.32,4
14,2021,AJ Green,Northern Iowa,G,0,0,68.57,4
15,2021,Jaden Ivey,Purdue,G,1,5,66.77,3
16,2021,Keon Ellis,Alabama,G,0,0,63.85,4
17,2021,Max Christie,Michigan State,G,2,35,59.11,4
18,2021,Vince Williams Jr.,VCU,G,2,47,58.92,4
19,2021,Tari Eason,Louisiana State,F,1,17,58.57,4
20,2021,Josh Minott,Memphis,G,2,45,55.59,4
21,2021,Chet Holmgren,Gonzaga,C,1,2,54.66,3
22,2021,Mark Williams,Duke,C,1,15,54.34,4
23,2021,Jalen Duren,Memphis,C,1,13,48.82,4
24,2021,Ron Harper Jr.,Rutgers,G,0,0,48.7,4
25,2021,Isaiah Mobley,Southern California,F,2,49,47.76,3
26,2021,Kennedy Chandler,Tennessee,G,2,38,46.85,1
27,2021,Kendall Brown,Baylor,G,2,48,46.07,2
28,2021,Jabari Smith,Auburn,F,1,3,45.58,0
29,2021,Jalen Johnson,Mercer,G,1,20,45.31,4
30,2021,Marcus Bingham,Michigan State,F,0,0,41.28,0
31,2021,Hyunjung Lee,Davidson,G,0,0,41.25,0
32,2021,Fabian White Jr.,Houston,F,0,0,39.94,0
33,2021,Lance Thomas,South Alabama,F,0,0,38.48,4
34,2021,David Roddy,Colorado State,G,1,23,37.69,3
35,2021,Wendell Moore Jr.,Duke,F,1,26,35.42,3
36,2021,AJ Griffin,Duke,F,1,16,34.26,2
37,2021,Andrew Jones,Texas,G,0,0,32.84,0
38,2021,Brady Manek,North Carolina,F,0,0,31.42,0
39,2021,Justin Lewis,Marquette,F,0,0,30.94,0
40,2021,Keegan Murray,Iowa,F,1,4,30.87,3
41,2021,Christian Koloko,Arizona,C,2,33,29.02,3
42,2021,Keve Aluma,Virginia Tech,F,0,0,28.23,0
43,2021,Justin Bean,Utah State,F,0,0,27.87,0
44,2021,E.J. Liddell,Ohio State,F,2,41,26.39,3
45,2021,Tevin Brown,Murray State,G,0,0,25.96,0
46,2021,Bryson Williams,Texas Tech,F,0,0,25.85,0
47,2021,Quenton Jackson,Texas A&M,G,0,0,25.73,4
48,2021,Kameron McGusty,Miami (FL),G,0,0,25.11,0
49,2021,Kenneth Lofton Jr.,Louisiana Tech,F,0,0,24.63,2
50,2021,Efe Abogidi,Washington State,C,0,0,24.48,0
51,2021,Moussa Diabate,Michigan,F,2,43,23.96,0
52,2021,Bryce McGowens,Nebraska,G,2,40,21.26,4
53,2021,James Akinjo,Baylor,G,0,0,20.66,0
54,2021,Johnny Davis,Wisconsin,G,1,10,20.42,3
55,2021,Iverson Molinar,Mississippi State,G,0,0,20.18,0
56,2021,Jared Rhoden,Seton Hall,G,0,0,18.62,3
57,2021,Orlando Robinson,Fresno State,F,0,0,18.27,4
58,2021,Alondes Williams,Wake Forest,G,0,0,18.24,3
59,2021,Ryan Rollins,Toledo,G,2,44,17.83,4
60,2021,JD Notae,Arkansas,G,0,0,17.55,0
61,2021,Michael Weathers,SMU,G,0,0,16.61,0
62,2021,Jamaree Bouyea,San Francisco,G,0,0,16.56,3
63,2021,JD Davison,Alabama,G,2,53,15.91,4
64,2021,Taz Sherman,West Virginia,G,0,0,15.91,0
65,2021,Taze Moore,Houston,F,0,0,15.0,2
66,2021,Payton Willis,Minnesota,G,0,0,14.89,0
67,2021,Trevion Williams,Purdue,F,0,0,14.55,0
68,2021,Dalen Terry,Arizona,G,1,18,13.73,4
69,2021,Aminu Mohammed,Georgetown,G,0,0,13.35,0
70,2021,Jaylin Williams,Arkansas,F,2,34,13.28,3
71,2021,Dereon Seabron,NC State,G,0,0,12.98,2
72,2021,Alex Barcello,Brigham Young,G,0,0,12.35,0
73,2021,Kur Kuath,Marquette,F,0,0,12.0,0
74,2021,Jules Bernard,UCLA,G,0,0,11.95,1
75,2021,Izaiah Brockington,Iowa State,G,0,0,11.85,1
76,2021,Isaiah Whaley,Connecticut,F,0,0,11.38,0
77,2021,Paul Atkinson,Notre Dame,F,0,0,11.25,0
78,2021,Anthony Polite,Florida State,G,0,0,10.68,0
79,2021,Charles Manning Jr.,South Alabama,G,0,0,10.54,0
80,2021,TyTy Washington Jr.,Kentucky,G,1,29,10.45,3
81,2021,Khalid Thomas,Portland State,F,0,0,10.41,0
82,2021,Johnny Juzang,UCLA,G,0,0,9.63,4
83,2021,Trevor Keels,Duke,G,2,42,9.23,1
84,2021,Fatts Russell,Maryland,G,0,0,9.17,0
85,2021,Alonzo Verge Jr.,Nebraska,G,0,0,8.97,0
86,2021,Collin Gillespie,Villanova,G,0,0,8.88,3
87,2021,Michael Devoe,Georgia Tech,G,0,0,8.63,0
88,2021,Jack Ferguson,Colgate,G,0,0,8.45,0
89,2021,Scotty Pippen Jr.,Vanderbilt,G,0,0,7.39,3
90,2021,Luka Brajkovic,Davidson,F,0,0,7.38,0
91,2021,Gaige Prim,Missouri State,F,0,0,7.21,0
92,2021,Dallas Walton,Wake Forest,F,0,0,7.08,0
93,2021,Terrell Brown Jr.,Washington,G,0,0,7.03,0
94,2021,Adonis Arms,Texas Tech,G,0,0,6.81,0
95,2021,Eric Ayala,Maryland,G,0,0,6.73,0
96,2021,Jordan Goldwire,Oklahoma,G,0,0,6.59,0
97,2021,Caleb Houstan,Michigan,G,2,32,6.37,4
98,2021,Mouhamadou Gueye,Pittsburgh,F,0,0,6.33,1
99,2021,Alex O'Connell,Creighton,G,0,0,6.0,0
100,2021,John Butler,Florida State,F,0,0,5.89,0
1,2022,Brandon Miller,Alabama,F,1,2,56.65,3
2,2022,Taylor Hendricks,UCF,F,1,9,41.73,3
3,2022,Jarace Walker,Houston,F,1,8,38.44,3
4,2022,Noah Clowney,Alabama,F,1,21,34.01,3
5,2022,Jaylen Clark,UCLA,G,2,53,33.54,2
6,2022,Devin Carter,Providence,G,1,13,30.17,0
7,2022,Jaime Jaquez Jr.,UCLA,G,1,18,29.53,3
8,2022,Gradey Dick,Kansas,G,1,13,29.22,3
9,2022,Jordan Hawkins,Connecticut,G,1,14,25.43,3
10,2022,Cason Wallace,Kentucky,G,1,10,24.69,3
11,2022,Marcus Sasser,Houston,G,1,25,24.69,2
12,2022,Will Richard,Florida,G,2,56,23.0,1
13,2022,Brandin Podziemski,Santa Clara,G,1,19,19.4,3
14,2022,Keyonte George,Baylor,G,1,16,17.06,3
15,2022,D'Moi Hodge,Missouri,G,0,0,16.62,1
16,2022,Mike Miles,TCU,G,0,0,14.52,0
17,2022,Kobe Bufkin,Michigan,G,1,15,13.4,2
18,2022,Matthew Mayer,Illinois,G,0,0,13.28,0
19,2022,Adama Sanogo,Connecticut,F,0,0,12.88,2
20,2022,Desmond Cambridge Jr.,Arizona State,G,0,0,12.41,0
21,2022,Craig Porter Jr.,Wichita State,G,0,0,12.16,3
22,2022,Brice Sensabaugh,Ohio State,F,1,28,11.37,3
23,2022,Jett Howard,Michigan,G,1,11,10.01,3
24,2022,Cam Whitmore,Villanova,F,1,20,9.74,3
25,2022,Colby Jones,Xavier,G,2,34,9.51,3
26,2022,Jalen Wilson,Kansas,F,2,51,9.03,3
27,2022,Amari Bailey,UCLA,G,2,41,8.98,0
28,2022,Amari Bailey,UCLA,G,2,41,8.98,1
29,2022,Pierce Thomas,Butler,G,0,0,8.5,0
30,2022,Dereck Lively II,Duke,C,1,12,8.26,3
31,2022,Seth Lundy,Penn State,F,2,46,7.67,1
32,2022,Azuolas Tubelis,Arizona,F,0,0,7.59,0
33,2022,Nick Smith Jr.,Arkansas,G,1,27,7.38,3
34,2022,Arterio Morris,Texas,G,0,0,7.29,0
35,2022,GG Jackson II,South Carolina,F,2,45,6.72,0
36,2022,Souley Boum,Xavier,G,0,0,6.64,0
37,2022,Dzmitry Ryuny,Oregon State,F,0,0,6.61,0
38,2022,Taylor Funk,Utah State,F,0,0,6.59,0
39,2022,Jalen Pickett,Penn State,G,2,32,6.41,3
40,2022,Keyontae Johnson,Kansas State,F,2,50,6.35,1
41,2022,Elijah Parquet,UNLV,G,0,0,5.86,0
42,2022,Nate Laszewski,Notre Dame,F,0,0,5.71,0
43,2022,Terquavion Smith,NC State,G,0,0,5.6,1
44,2022,Oscar Tshiebwe,Kentucky,F,0,0,5.56,2
45,2022,Trayce Jackson-Davis,Indiana,F,2,57,5.1,3
46,2022,Khalil Shabazz,San Francisco,G,0,0,4.88,0
47,2022,Isaiah Wong,Miami (FL),G,2,55,4.71,2
48,2022,Kobe Brown,Missouri,F,1,30,4.64,3
49,2022,Jaylon Tyson,Texas Tech,G,1,20,4.61,2
50,2022,Wendell Green Jr.,Auburn,G,0,0,4.3,0
51,2022,C.J. Kelly,UCF,G,0,0,4.28,0
52,2022,Kris Murray,Iowa,F,1,23,4.28,3
53,2022,Teafale Lenard,Middle Tennessee,G,0,0,4.18,0
54,2022,Tyree Appleby,Wake Forest,G,0,0,3.61,0
55,2022,Dariq Whitehead,Duke,F,1,22,3.59,2
56,2022,K.J. Williams,Louisiana State,F,0,0,3.48,0
57,2022,Bobi Klintman,Wake Forest,F,2,37,3.48,2
58,2022,Jalen Deloach,VCU,F,0,0,3.29,0
59,2022,Mouhamed Gueye,Washington State,F,2,39,3.28,3
60,2022,Joey Hauser,Michigan State,F,0,0,3.28,0
61,2022,Chase Audige,Northwestern,G,0,0,3.17,0
62,2022,Garrett Sturtz,Drake,G,0,0,3.14,0
63,2022,Adam Flagler,Baylor,G,0,0,3.1,2
64,2022,Julian Phillips,Tennessee,F,2,35,3.06,3
65,2022,Cameron Shelton,Loyola Marymount,G,0,0,3.02,0
66,2022,Ricky Council IV,Arkansas,G,0,0,2.93,2
67,2022,Javon Franklin,Georgia Tech,F,0,0,2.82,0
68,2022,Matt Bradley,San Diego State,G,0,0,2.75,0
69,2022,Marcus Carr,Texas,G,0,0,2.56,0
70,2022,Cedric Henderson Jr.,Arizona,G,0,0,2.56,0
71,2022,Miles Norris,UC Santa Barbara,F,0,0,2.55,1
72,2022,Umoja Gibson,DePaul,G,0,0,2.55,0
73,2022,Kevin Obanor,Texas Tech,F,0,0,2.51,0
74,2022,Sir'Jabari Rice,Texas,G,0,0,2.36,0
75,2022,Andre Jackson Jr.,Connecticut,G,2,36,2.33,3
76,2022,Dominick Welch,Alabama,G,0,0,2.31,0
77,2022,Kamaka Hepa,Hawaii,F,0,0,2.29,0
78,2022,Markquis Nowell,Kansas State,G,0,0,2.28,1
79,2022,Charles Bediako,Alabama,C,0,0,2.27,0
80,2022,Justyn Mutts,Virginia Tech,F,0,0,2.26,0
81,2022,Toumani Camara,Dayton,F,2,52,2.24,3
82,2022,Alex Fudge,Florida,F,0,0,2.12,1
83,2022,Timmy Allen,Texas,F,0,0,2.11,1
84,2022,Emmitt Matthews Jr.,West Virginia,F,0,0,2.1,0
85,2022,Landers Nolley II,Cincinnati,G,0,0,2.1,0
86,2022,Chris Livingston,Kentucky,F,2,58,2.09,2
87,2022,Drew Timme,Gonzaga,F,0,0,2.06,1
88,2022,Darius McGhee,Liberty,G,0,0,2.0,0
89,2022,Jacob Toppin,Kentucky,F,0,0,1.99,3
90,2022,Yor Anei,DePaul,F,0,0,1.93,0
91,2022,Foster Loyer,Davidson,G,0,0,1.93,0
92,2022,Reggie Chaney,Houston,F,0,0,1.89,0
93,2022,JT Shumate,Toledo,F,0,0,1.89,0
94,2022,Maxwell Lewis,Pepperdine,F,2,40,1.86,2
95,2022,Anthony Black,Arkansas,G,1,6,1.86,3
96,2022,Leaky Black,North Carolina,G,0,0,1.85,1
97,2022,Christian Bishop,Texas,F,0,0,1.84,0
98,2022,Brevin Galloway,Clemson,G,0,0,1.82,0
99,2022,Cameron Holden,Towson,G,0,0,1.82,0
100,2022,EJ Jarvis,Yale,F,0,0,1.81,0
1,2023,Reed Sheppard,Kentucky,G,1,3,92.0,2
2,2023,Devin Carter,Providence,G,1,13,60.49,2
3,2023,Jared McCain,Duke,G,1,16,60.09,2
4,2023,KJ Simpson,Colorado,G,2,42,58.82,2
5,2023,Kyle Filipowski,Duke,C,2,32,52.51,2
6,2023,Jaylin Williams,Auburn,F,0,0,46.23,0
7,2023,Rob Dillingham,Kentucky,G,1,8,43.23,2
8,2023,Kevin McCullar Jr.,Kansas,G,2,56,40.79,1
9,2023,Dylan Disu,Texas,F,0,0,34.73,0
10,2023,Stephon Castle,Connecticut,G,1,4,31.1,2
11,2023,Yves Missi,Baylor,F,1,21,28.92,2
12,2023,Cody Williams,Colorado,F,1,10,22.52,2
13,2023,Justin Edwards,Kentucky,G,0,0,22.43,2
14,2023,Carlton Carrington,Pittsburgh,G,1,14,21.23,0
15,2023,Harrison Ingram,North Carolina,F,2,48,19.93,2
16,2023,Kel'el Ware,Indiana,C,1,15,19.18,2
17,2023,Jamari McDowell,Kansas,G,0,0,18.52,0
18,2023,Jaylon Tyson,California,G,1,20,16.33,2
19,2023,Ilane Fibleuil,UCLA,G,0,0,15.78,0
20,2023,Keylan Boone,UNLV,G,0,0,15.25,0
21,2023,Jahmir Young,Maryland,G,0,0,15.03,2
22,2023,Cam Christie,Minnesota,G,2,46,14.91,2
23,2023,Jalen Bridges,Baylor,F,0,0,13.68,1
24,2023,Ryan Dunn,Virginia,G,1,28,12.94,2
25,2023,Adem Bona,UCLA,F,2,41,11.92,2
26,2023,Cam Spencer,Connecticut,G,2,53,11.51,2
27,2023,Michael Ojo,Siena,F,0,0,11.01,0
28,2023,Reece Beekman,Virginia,G,0,0,10.46,1
29,2023,Josiah-Jordan James,Tennessee,G,0,0,9.92,0
30,2023,Tristen Newton,Connecticut,G,2,49,9.28,1
31,2023,Isaiah Collier,Southern California,G,1,29,8.9,2
32,2023,Tyler Kolek,Marquette,G,2,34,8.79,2
33,2023,Anton Watson,Gonzaga,F,2,54,8.74,1
34,2023,Terrence Shannon Jr.,Illinois,G,1,27,8.6,2
35,2023,Johnny Furphy,Kansas,G,2,35,7.05,2
36,2023,DJ Horne,NC State,G,0,0,6.92,0
37,2023,Ja'Kobe Walter,Baylor,G,1,19,6.47,2
38,2023,Spencer Jones,Stanford,F,0,0,6.03,2
39,2023,Tylor Perry,Kansas State,G,0,0,5.48,0
40,2023,Rory Hawke,St. Mary's (CA),G,0,0,5.21,0
41,2023,Quincy Olivari,Xavier,G,0,0,5.15,1
42,2023,Davonte Gaines,Providence,G,0,0,4.57,0
43,2023,Ryan Langborg,Northwestern,G,0,0,4.42,0
44,2023,Donta Scott,Maryland,F,0,0,4.37,0
45,2023,Elijah Gertrude,Virginia,G,0,0,4.16,0
46,2023,Keion Brooks Jr.,Washington,F,0,0,3.99,1
47,2023,Jameer Nelson Jr.,TCU,G,0,0,3.98,0
48,2023,Hason Ward,Iowa State,F,0,0,3.98,0
49,2023,PJ Hall,Clemson,F,0,0,3.8,2
50,2023,Aly Khalifa,Brigham Young,F,0,0,3.68,0
51,2023,Kalib Boone,UNLV,F,0,0,3.44,0
52,2023,DaRon Holmes II,Dayton,F,1,22,3.27,1
53,2023,Darius Brown II,Utah State,G,0,0,3.15,0
54,2023,Clifford Omoruyi,Rutgers,C,0,0,3.12,0
55,2023,Malik Hall,Michigan State,F,0,0,3.09,0
56,2023,Isaiah Crawford,Louisiana Tech,F,0,0,2.99,1
57,2023,Blake Hinson,Pittsburgh,G,0,0,2.95,0
58,2023,Oso Ighodaro,Marquette,F,2,40,2.94,2
59,2023,Jamal Shead,Houston,G,2,45,2.93,2
60,2023,Boo Buie,Northwestern,G,0,0,2.92,0
61,2023,Miles Latimer,Bryant,G,0,0,2.88,0
62,2023,Rayj Dennis,Baylor,G,0,0,2.86,2
63,2023,Pelle Larsson,Arizona,G,2,44,2.83,2
64,2023,Cameron Tyson,Seattle,G,0,0,2.76,0
65,2023,Lance Jones,Purdue,G,0,0,2.76,0
66,2023,Jaxson Baker,New Hampshire,G,0,0,2.69,0
67,2023,Brycen Long,Arizona State,G,0,0,2.67,0
68,2023,Reese Dixon-Waters,San Diego State,G,0,0,2.67,0
69,2023,Tyreek Smith,SMU,F,0,0,2.6,0
70,2023,Eli Rice,Nebraska,G,0,0,2.6,0
71,2023,Matt Veretto,Vermont,F,0,0,2.58,0
72,2023,William McNair Jr.,Kansas State,F,0,0,2.48,0
73,2023,Emanuel Miller,TCU,F,0,0,2.45,1
74,2023,Jonathan Tchamwa Tchatchoua,Baylor,F,0,0,2.39,0
75,2023,Joseph Girard III,Clemson,G,0,0,2.31,0
76,2023,Judah Mintz,Syracuse,G,0,0,2.23,0
77,2023,Derek Sangster,Princeton,F,0,0,2.21,0
78,2023,Jalen Smith,SMU,G,1,10,2.18,6
79,2023,Jason Spurgin,Bowling Green,C,0,0,2.14,0
80,2023,Aundre Hyatt,Rutgers,F,0,0,2.13,0
81,2023,Baylor Scheierman,Creighton,G,1,30,2.13,2
82,2023,Chris Ledlum,St. John's (NY),F,0,0,2.11,0
83,2023,Jadon Jones,Long Beach State,G,0,0,2.08,0
84,2023,Jamison Battle,Ohio State,F,0,0,2.07,2
85,2023,Jaden Campbell,Samford,G,0,0,2.04,0
86,2023,Rienk Mast,Nebraska,F,0,0,1.99,0
87,2023,Quinten Post,Boston College,F,2,52,1.97,2
88,2023,Donovan Clingan,Connecticut,C,1,7,1.96,2
89,2023,Al-Amir Dawes,Seton Hall,G,0,0,1.93,0
90,2023,Damani McEntire,Bethune-Cookman,G,0,0,1.92,0
91,2023,Ryan Moffatt,Colgate,G,0,0,1.91,0
92,2023,Jaylen Wells,Washington State,F,2,39,1.9,2
93,2023,Luis Rodriguez,UNLV,G,0,0,1.87,0
94,2023,Kobe Rodgers,College of Charleston,G,0,0,1.86,0
95,2023,Kyshawn George,Miami (FL),G,1,24,1.85,2
96,2023,Dalton Knecht,Tennessee,G,1,17,1.82,2
97,2023,Trey Alexander,Creighton,G,0,0,1.81,1
98,2023,David Jones,Memphis,F,0,0,1.81,0
99,2023,Jason Wade,Old Dominion,G,0,0,1.79,0
100,2023,Connor Vanover,Missouri,F,0,0,1.75,0
1,2024,V.J. Edgecombe,Baylor,G,1,3,94.68,0
2,2024,Jase Richardson,Michigan State,G,1,25,94.06,1
3,2024,Thomas Sorber,Georgetown,F,1,15,85.0,0
4,2024,KJ Lewis,Arizona,G,0,0,78.8,0
5,2024,Labaron Philon,Alabama,G,0,0,73.16,0
6,2024,Eric Dailey Jr.,UCLA,F,0,0,71.46,0
7,2024,Walter Clayton Jr.,Florida,G,1,18,68.24,1
8,2024,Kon Knueppel,Duke,G,1,4,62.46,1
9,2024,Dylan Harper,Rutgers,G,1,2,62.3,1
10,2024,Angelo Ciaravino,Northwestern,G,0,0,62.11,0
11,2024,Asa Newell,Georgia,F,1,23,61.6,1
12,2024,Makhai Valentine,Missouri State,G,0,0,57.26,0
13,2024,Cooper Flagg,Duke,F,1,1,57.18,1
14,2024,Tahaad Pettiford,Auburn,G,0,0,52.27,0
15,2024,Coen Carr,Michigan State,F,0,0,45.52,0
16,2024,Mouhamed Dioubate,Alabama,F,0,0,44.84,0
17,2024,Kasparas Jakucionis,Illinois,G,1,20,40.94,0
18,2024,Khaman Maluach,Duke,C,1,10,38.77,1
19,2024,Derrion Reid,Alabama,F,0,0,37.59,0
20,2024,Airious Bailey,Rutgers,G,1,5,34.2,0
21,2024,RJ Luis,St. John's (NY),G,0,0,33.83,0
22,2024,Nolan Winter,Wisconsin,F,0,0,33.73,0
23,2024,Morez Johnson Jr.,Illinois,F,0,0,33.64,0
24,2024,Will Riley,Illinois,F,1,21,33.46,1
25,2024,Collin Murray-Boyles,South Carolina,F,1,9,32.39,1
26,2024,Amael L'Etang,Dayton,F,0,0,32.39,0
27,2024,RJ Melendez,Mississippi State,G,0,0,32.36,0
28,2024,Jace Posey,TCU,F,0,0,31.66,0
29,2024,Kameron Jones,Marquette,G,2,38,31.63,0
30,2024,Tamin Lipsey,Iowa State,G,0,0,31.35,0
31,2024,Derik Queen,Maryland,C,1,13,31.2,1
32,2024,Khani Rooths,Louisville,F,0,0,30.77,0
33,2024,Paul McNeil Jr.,NC State,G,0,0,30.27,0
34,2024,Ian Jackson,North Carolina,G,0,0,30.13,0
35,2024,Henri Veesaar,Arizona,F,0,0,29.12,0
36,2024,Jeremiah Fears,Oklahoma,G,1,7,29.1,1
37,2024,Joseph Pinion,Arkansas State,G,0,0,26.15,0
38,2024,Patrick Ngongba,Duke,C,0,0,25.97,0
39,2024,Silas Demary Jr.,Georgia,G,0,0,25.45,0
40,2024,Carter Bryant,Arizona,G,1,14,25.16,1
41,2024,Christian Anderson,Texas Tech,G,0,0,24.94,0
42,2024,Aiden Sherrell,Alabama,F,0,0,24.83,0
43,2024,Isaiah Watts,Washington State,G,0,0,24.59,0
44,2024,Kevin Patton Jr.,Southern California,G,0,0,24.55,0
45,2024,Luke Northweather,Oklahoma,C,0,0,24.05,0
46,2024,Adam Tsang Hinton,Cornell,G,0,0,23.86,0
47,2024,RJ Davis,North Carolina,G,0,0,23.83,0
48,2024,Chad Baker-Mazara,Auburn,G,0,0,23.39,0
49,2024,Flory Bidunga,Kansas,F,0,0,22.7,0
50,2024,Igor Milicic Jr.,Tennessee,G,0,0,22.67,0
51,2024,Robert Wright III,Baylor,G,0,0,21.36,0
52,2024,Jorge Diaz Graham,Pittsburgh,F,0,0,21.1,0
53,2024,Milos Uzan,Houston,G,0,0,21.02,0
54,2024,Jahki Howard,Auburn,F,0,0,20.91,0
55,2024,BJ Davis,San Diego State,G,0,0,19.64,0
56,2024,Egor Demin,Brigham Young,G,1,8,19.17,0
57,2024,Solomon Ball,Connecticut,G,0,0,18.39,0
58,2024,L.J. Cason,Michigan,G,0,0,16.96,0
59,2024,Taylor Bol Bowen,Florida State,F,0,0,16.89,0
60,2024,Tre Johnson,Texas,G,1,6,16.58,1
61,2024,Miles Byrd,San Diego State,G,0,0,16.47,0
62,2024,Dailyn Swain,Xavier,F,0,0,15.81,0
63,2024,Raleigh Burgess,Purdue,F,0,0,15.78,0
64,2024,K.J. Windham,Northwestern,G,0,0,13.94,0
65,2024,Mark Mitchell,Missouri,F,0,0,12.58,0
66,2024,Rubén Prey,St. John's (NY),F,0,0,12.43,0
67,2024,Drake Powell,North Carolina,G,1,22,12.23,1
68,2024,Danny Wolf,Michigan,F,1,27,12.15,1
69,2024,T.O. Barrett,Missouri,G,0,0,11.66,0
70,2024,Chance McMillian,Texas Tech,G,0,0,11.64,0
71,2024,Zakai Zeigler,Tennessee,G,0,0,11.58,0
72,2024,Apostolos Roumoglou,Richmond,G,0,0,11.3,0
73,2024,Karter Knox,Arkansas,F,0,0,10.83,0
74,2024,Royce Parham,Marquette,F,0,0,10.67,0
75,2024,Kario Oquendo,SMU,G,0,0,10.65,0
76,2024,Cale Jacobsen,Nebraska,G,0,0,10.55,0
77,2024,John Mobley Jr.,Ohio State,G,0,0,10.23,0
78,2024,LJ Cryer,Houston,G,0,0,9.94,0
79,2024,Dylan Grant,Rutgers,F,0,0,9.72,0
80,2024,Wesley Yates III,Southern California,G,0,0,9.65,0
81,2024,Blue Cain,Georgia,G,0,0,9.46,0
82,2024,Tre White,Illinois,G,0,0,9.4,0
83,2024,Steven Ashworth,Creighton,G,0,0,9.21,0
84,2024,Terrence Edwards,Louisville,G,0,0,9.01,0
85,2024,Maliq Brown,Duke,F,0,0,8.7,0
86,2024,Ben Gold,Marquette,F,0,0,8.64,0
87,2024,T.J. Weeks Jr.,Rider,G,0,0,8.58,0
88,2024,Pop Isaacs,Creighton,G,0,0,8.35,0
89,2024,Dennis Parker Jr.,NC State,G,0,0,8.24,0
90,2024,Sean Pedulla,Ole Miss,G,0,0,7.96,0
91,2024,Joseph Tugler,Houston,F,0,0,7.73,0
92,2024,Jordann Dumont,Villanova,F,0,0,7.5,0
93,2024,Trey Lewis,Purdue Fort Wayne,G,0,0,7.47,0
94,2024,Sencire Harris,West Virginia,G,0,0,7.36,0
95,2024,Caleb Grill,Missouri,G,0,0,7.22,0
96,2024,Garrett Sundra,Notre Dame,F,0,0,7.05,0
97,2024,Zack Austin,Pittsburgh,F,0,0,6.94,0
98,2024,Trey Parker,NC State,G,0,0,6.9,0
99,2024,Jordan Butler,South Carolina,F,0,0,6.57,0
100,2024,Pearson Carmichael,Boise State,F,0,0,6.55,0
